,,0
Age_08_04,Mfg_Year,-0.983661157394615
Mfg_Year,Age_08_04,-0.983661157394615
Fuel_Type_Petrol,Fuel_Type_Diesel,-0.9429759093043616
Fuel_Type_Diesel,Fuel_Type_Petrol,-0.9429759093043616
Id,Mfg_Year,-0.9195232329044206
Mfg_Year,Id,-0.9195232329044206
Price,Age_08_04,-0.8765904971436377
Age_08_04,Price,-0.8765904971436377
Fuel_Type_Petrol,Quarterly_Tax,-0.8354516723173215
Quarterly_Tax,Fuel_Type_Petrol,-0.8354516723173215
Price,Id,-0.738250029214527
Id,Price,-0.738250029214527
Age_08_04,Boardcomputer,-0.7194487099267127
Boardcomputer,Age_08_04,-0.7194487099267127
Id,Boardcomputer,-0.6952066609321933
Boardcomputer,Id,-0.6952066609321933
KM,Price,-0.569960164533718
Price,KM,-0.569960164533718
Weight,Fuel_Type_Petrol,-0.5604702647615739
Fuel_Type_Petrol,Weight,-0.5604702647615739
HP,Fuel_Type_Diesel,-0.5334531033326271
Fuel_Type_Diesel,HP,-0.5334531033326271
Age_08_04,CD_Player,-0.5108951868822894
CD_Player,Age_08_04,-0.5108951868822894
Mfg_Year,KM,-0.5049744502001683
KM,Mfg_Year,-0.5049744502001683
Backseat_Divider,Guarantee_Period,-0.4844268524163227
Guarantee_Period,Backseat_Divider,-0.4844268524163227
Age_08_04,Weight,-0.47025318399104776
Weight,Age_08_04,-0.47025318399104776
Id,CD_Player,-0.464519771055769
CD_Player,Id,-0.464519771055769
ABS,Id,-0.4614369399226656
Id,ABS,-0.4614369399226656
Fuel_Type_Petrol,KM,-0.43315960829357564
KM,Fuel_Type_Petrol,-0.43315960829357564
Age_08_04,Automatic_airco,-0.42625914542415283
Automatic_airco,Age_08_04,-0.42625914542415283
Id,Weight,-0.4145003690618083
Weight,Id,-0.4145003690618083
Age_08_04,ABS,-0.41288731118153527
ABS,Age_08_04,-0.41288731118153527
Airco,Age_08_04,-0.4036000481901462
Age_08_04,Airco,-0.4036000481901462
Id,Airco,-0.38620655611337223
Airco,Id,-0.38620655611337223
Airbag_2,Id,-0.35831646545288603
Id,Airbag_2,-0.35831646545288603
KM,Boardcomputer,-0.35386224786090853
Boardcomputer,KM,-0.35386224786090853
KM,HP,-0.3335379478320005
HP,KM,-0.3335379478320005
Age_08_04,Airbag_2,-0.329017478678485
Airbag_2,Age_08_04,-0.329017478678485
Id,Automatic_airco,-0.3274681215621882
Automatic_airco,Id,-0.3274681215621882
Airbag_2,Guarantee_Period,-0.32276941794667874
Guarantee_Period,Airbag_2,-0.32276941794667874
Fuel_Type_Petrol,CC,-0.31517002044532344
CC,Fuel_Type_Petrol,-0.31517002044532344
Guarantee_Period,BOVAG_Guarantee,-0.3000629023611253
BOVAG_Guarantee,Guarantee_Period,-0.3000629023611253
HP,Quarterly_Tax,-0.2984317172002558
Quarterly_Tax,HP,-0.2984317172002558
Fuel_Type_Petrol,Fuel_Type_CNG,-0.29671710052435407
Fuel_Type_CNG,Fuel_Type_Petrol,-0.29671710052435407
Age_08_04,Powered_Windows,-0.2838558255654982
Powered_Windows,Age_08_04,-0.2838558255654982
Age_08_04,Central_Lock,-0.2796306394478637
Central_Lock,Age_08_04,-0.2796306394478637
KM,CD_Player,-0.26682615625244627
CD_Player,KM,-0.26682615625244627
Color_Red,Met_Color,-0.26182810623315883
Met_Color,Color_Red,-0.26182810623315883
KM,Automatic_airco,-0.2582214936109324
Automatic_airco,KM,-0.2582214936109324
Color_Blue,Color_Grey,-0.2551313817653163
Color_Grey,Color_Blue,-0.2551313817653163
Color_Red,Color_Grey,-0.25232102214104063
Color_Grey,Color_Red,-0.25232102214104063
Color_Blue,Color_Red,-0.24274298178060943
Color_Red,Color_Blue,-0.24274298178060943
Id,Quarterly_Tax,-0.24082102762813565
Quarterly_Tax,Id,-0.24082102762813565
Id,Central_Lock,-0.23893997513242654
Central_Lock,Id,-0.23893997513242654
Id,Powered_Windows,-0.23672269717569477
Powered_Windows,Id,-0.23672269717569477
Airbag_2,Radio,-0.2236631719067403
Radio,Airbag_2,-0.2236631719067403
Airbag_2,Radio_cassette,-0.22091718120440876
Radio_cassette,Airbag_2,-0.22091718120440876
Color_Grey,Color_Green,-0.21904324768017353
Color_Green,Color_Grey,-0.21904324768017353
KM,Mfr_Guarantee,-0.2128508022388943
Mfr_Guarantee,KM,-0.2128508022388943
Color_Green,Color_Blue,-0.21072842298123112
